"projectID";"physUrl";"id";"availableLanguages";"status";"archivedDate";"type";"source";"represents"
"101077420";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e509bb37f8&appId=PPGMS";"89a993889164310d0745f16b5791280f";"en";"";"";"projectDeliverable";"corda";""
"101135699";"https://www.linkedin.com/company/spinus-quantum/";"0786c157c0731a5e18804170c317c5e4";"en";"";"";"socialMedia";"editorial";"linkedIn"
"101135699";"https://twitter.com/SpinusEurope";"75c00661aa9c6d7575d6ebf93e9af107";"en";"";"";"socialMedia";"editorial";"twitter"
"101081458";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5fd8ebe8c&appId=PPGMS";"e4a796dc0ca2ba29a5b312a6e2e50a19";"en";"";"";"projectDeliverable";"corda";""
"101081458";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5fd8efad2&appId=PPGMS";"cb0a9b1845c8fe6ea3f200e86f1cc400";"en";"";"";"projectDeliverable";"corda";""
"101059865";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f8670b8f&appId=PPGMS";"a6adf75675d49a518e8c556920e24e2a";"en";"";"";"projectDeliverable";"corda";""
"101059865";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f8671e57&appId=PPGMS";"4214acfbc82f1aa6edc1e261d04d2d8f";"en";"";"";"projectDeliverable";"corda";""
"101068332";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5086921f5&appId=PPGMS";"ba6aa63105111fc08e2d16daa9f9f445";"en";"";"";"projectDeliverable";"corda";""
"101063375";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5ff87a59f&appId=PPGMS";"b26ead28fefd20b151e3257e90561b9a";"en";"";"";"projectDeliverable";"corda";""
"101044249";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5042a5533&appId=PPGMS";"cb1891ed79c3d6bc7ff5f09c38eef723";"en";"";"";"projectDeliverable";"corda";""
"101041109";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50348d2d0&appId=PPGMS";"31f89cb8d2f3d8318ffdbb2abfe7cd01";"en";"";"";"projectDeliverable";"corda";""
"101063362";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e502b1dd1f&appId=PPGMS";"a0119a5d2adaf9257c832ea0b29638fe";"en";"";"";"projectDeliverable";"corda";""
"101109743";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e502809410&appId=PPGMS";"5ccff84d3e584fdf7d0cf473c49938fc";"en";"";"";"projectDeliverable";"corda";""
"101070193";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e506162fb8&appId=PPGMS";"cb4194de13443ac5f0efd52bbd2cce76";"en";"";"";"projectDeliverable";"corda";""
"101070193";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5ff1c9d74&appId=PPGMS";"2671f3b1a138e212ee3dd4dc8af59b35";"en";"";"";"projectDeliverable";"corda";""
"101070193";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5fa9c444c&appId=PPGMS";"ef58c8bf9c6df91225265ffaf2368b05";"en";"";"";"projectDeliverable";"corda";""
"101070193";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5061641fd&appId=PPGMS";"6acf2cdef5cfd241ddba9df958d127ba";"en";"";"";"projectDeliverable";"corda";""
"101070193";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e506164966&appId=PPGMS";"3da088b0c97af9827b197afd5abedc76";"en";"";"";"projectDeliverable";"corda";""
"101070193";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e507009ad1&appId=PPGMS";"1fba18d862c0d89aad2b52822e987fb8";"en";"";"";"projectDeliverable";"corda";""
"101070193";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e506297632&appId=PPGMS";"19aa0fc640b02054ae99fa7e19d87b68";"en";"";"";"projectDeliverable";"corda";""
"101070193";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5056aa350&appId=PPGMS";"44b66702823255efecb2b9bf94a06239";"en";"";"";"projectDeliverable";"corda";""
"101070193";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5054aa580&appId=PPGMS";"f49f99df0840ae80c71e59c7dfd6dd89";"en";"";"";"projectDeliverable";"corda";""
"101070193";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5061640cd&appId=PPGMS";"46dfc9870e2d0bcfbc2498d14f699625";"en";"";"";"projectDeliverable";"corda";""
"101070193";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5043912c2&appId=PPGMS";"d76a8281d446cea347c12c27ced640b8";"en";"";"";"projectDeliverable";"corda";""
"101070193";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e501bc08d9&appId=PPGMS";"36dfe9dd5d96076b1140c21750d6cdc6";"en";"";"";"projectDeliverable";"corda";""
"101070193";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5fb04afe3&appId=PPGMS";"f5e6b034c6083758a95bf440143b6072";"en";"";"";"projectDeliverable";"corda";""
"101070193";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5fc46c25b&appId=PPGMS";"f9493afde185a19321800050a45d7a27";"en";"";"";"projectDeliverable";"corda";""
"101070193";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5fd4cb2c5&appId=PPGMS";"34ee08cd9c368cc471eb643ec76e71f1";"en";"";"";"projectDeliverable";"corda";""
"101070193";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5063a1a0b&appId=PPGMS";"7c5be622d9fd222db5af340f262a96b0";"en";"";"";"projectDeliverable";"corda";""
"101070193";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e505799f7e&appId=PPGMS";"737caf6d7b7416bfd1af843346f8bd80";"en";"";"";"projectDeliverable";"corda";""
"101070193";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e505a00a16&appId=PPGMS";"7e6b897e486210da383753adeb7478fd";"en";"";"";"projectDeliverable";"corda";""
"101070193";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5061644ba&appId=PPGMS";"d93bb3a42c5e1df5a6ef82a01b18d455";"en";"";"";"projectDeliverable";"corda";""
"101070193";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5061ebdd9&appId=PPGMS";"a6a1bfb96b0c9019e0ce5c32c0e0d567";"en";"";"";"projectDeliverable";"corda";""
"101070193";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e506f71f83&appId=PPGMS";"ccede60d91d03d597ed4ab182bb60c84";"en";"";"";"projectDeliverable";"corda";""
"101070193";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f82935af&appId=PPGMS";"42ea14c10c79d02ef99abe5b3ed81af2";"en";"";"";"projectDeliverable";"corda";""
"101070193";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50557e61e&appId=PPGMS";"89f65ea38ccaa7c24dd8561192215742";"en";"";"";"projectDeliverable";"corda";""
"101042075";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e503bfb914&appId=PPGMS";"4e515266a9565db78203d8751bb0afef";"en";"";"";"projectDeliverable";"corda";""
"101047029";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f0adba27&appId=PPGMS";"3cd7982bb44325836ff9312721231bb1";"en";"";"";"projectDeliverable";"corda";""
"101047029";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f0adba28&appId=PPGMS";"0678c5f2b596eec80792a4acfbe7ebea";"en";"";"";"projectDeliverable";"corda";""
