"projectID";"topic";"title"
"101106941";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101158575";"HORIZON-EIC-2023-TRANSITIONOPEN-01";"Transition Open 2023"
"101082040";"HORIZON-CL6-2022-CIRCBIO-02-03-two-stage";"Sustainable biodegradable novel bio-based plastics: innovation for sustainability and end-of-life options of plastics"
"101058450";"HORIZON-CL4-2021-RESILIENCE-01-12";"Safe- and sustainable-by-design metallic coatings and engineered surfaces (RIA)"
"190138422";"HORIZON-EIC-2022-ACCELERATOROPEN-01";"EIC Accelerator Open"
"101110162";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"190114794";"HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-02";"Green Deal innovations for the Economic Recovery"
"101076687";"ERC-2022-STG";"ERC STARTING GRANTS"
"190183175";"HORIZON-EIC-2021-ACCELERATOROPEN-01";"EIC Accelerator Open 2021"
"101105245";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101109054";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101125178";"ERC-2023-COG";"ERC CONSOLIDATOR GRANTS"
"101109383";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101039890";"ERC-2021-STG";"ERC STARTING GRANTS"
"101062041";"ERC-2022-POC1";"ERC PROOF OF CONCEPT GRANTS1"
"101070347";"HORIZON-CL4-2021-DIGITAL-EMERGING-01-14";"Advanced spintronics: Unleashing spin in the next generation ICs (RIA)"
"101064526";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101091554";"HORIZON-CL4-2022-TWIN-TRANSITION-01-15";"New electrochemical conversion routes for the production of chemicals and materials in process industries (Processes4Planet Partnership) (RIA)"
"101069234";"ERC-2022-POC1";"ERC PROOF OF CONCEPT GRANTS1"
"101109675";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101106582";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101106797";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101101025";"ERC-2022-POC2";"ERC PROOF OF CONCEPT GRANTS2"
"101060941";"HORIZON-CL2-2021-HERITAGE-01-01";"Green technologies and materials for cultural heritage"
"101097684";"ERC-2022-ADG";"ERC ADVANCED GRANTS"
"101107704";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101058076";"HORIZON-CL4-2021-RESILIENCE-01-12";"Safe- and sustainable-by-design metallic coatings and engineered surfaces (RIA)"
"101122327";"HORIZON-CL5-2022-D3-03-05";"Novel Thin Film (TF) technologies targeting high efficiencies"
"101147653";"HORIZON-CL5-2023-D3-02-12";"Large Area Perovskite solar cells and modules"
"101078989";"HORIZON-WIDERA-2021-ACCESS-03-01";"Twinning"
"101082573";"HORIZON-CL4-2022-SPACE-01-81";"Space technologies for European non-dependence and competitiveness"
"101109284";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101084348";"HORIZON-CL5-2021-D3-03-10";"Innovative foundations, floating substructures and connection systems for floating PV and ocean energy devices"
"101106176";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
